TO_kod
 	Tätort_Namn
 	Typ
 	Folkmängd_2010
 	Folkmängd_2005
 	Förändring
 	Inv_km2
 	Landareal_ha
 	Kommun_Namn
 	KnKod
 
T0100	Bergshamra	T	749	751	-2	469	160	Norrtälje	0188
T0102	Bammarboda	T	249	204	45	314	79	Österåker	0117
T0104	Boo	T	24052	21776	2276	1479	1626	Nacka	0182
T0106	Björnömalmen och Klacknäset	T	624	568	56	496	126	Värmdö	0120
T0108	Brevik	T	8772	8024	748	2211	397	Lidingö	0186
T0110	Brevikshalvön	T	2018	1817	201	337	600	Tyresö	0138
T0112	Bro	T	7050	6359	691	2344	301	Upplands-Bro	0139
T0120	Brunn	T	950	957	-7	986	96	Värmdö	0120
T0124	Brunna	T	3925	3861	64	2213	177	Upplands-Bro	0139
T0132	Dalarö	T	1199	1190	9	716	168	Haninge	0136
T0136	Djurö	T	967	958	9	1047	92	Värmdö	0120
T0140	Drottningholm	T	398	410	-12	271	147	Ekerö	0125
T0144	Edsbro	T	488	515	-27	593	82	Norrtälje	0188
T0148	Ekeby	T	1018	988	30	1755	58	Södertälje	0181
T0150	Ekerö	T	10907	10322	585	2013	542	Ekerö	0125
T0151	Ekerö sommarstad	T	544	544	0	1444	38	Ekerö	0125
T0152	Ekeby	T	258	221	37	891	29	Upplands Väsby	0114
T0154	Värmdö-Evlinge	T	559	490	69	449	124	Värmdö	0120
T0156	Fisksätra	T	7475	6864	611	7227	103	Nacka	0182
T0158	Finkarby	T	214	218	-4	402	53	Nykvarn	0140
T0166	Fågelvikshöjden	T	1043	1015	28	2132	49	Värmdö	0120
T0168	Grisslehamn	T	249	275	-26	204	122	Norrtälje	0188
T0170	Gimmersta	T	354	305	49	1115	32	Tyresö	0138
T0172	Gustavsberg	T	11333	9682	1651	2654	427	Värmdö	0120
T0176	Hallstavik	T	4476	4530	-54	954	469	Norrtälje	0188
T0178	Gladö kvarn	T	539	438	101	492	110	Huddinge	0126
T0180	Hemmesta	T	5240	4577	663	1542	340	Värmdö	0120
T0182	Parksidan	T	494	331	163	2169	23	Ekerö	0125
T0184	Herräng	T	422	443	-21	233	181	Norrtälje	0188
T0190	Håbo-Tibble kyrkby	T	256	271	-15	773	33	Upplands-Bro	0139
T0192	Hästhagen	T	499	472	27	1531	33	Nacka	0182
T0194	Hagbyhöjden	T	479	335	144	3838	12	Österåker	0117
T0196	Hölö	T	1400	1222	178	1051	133	Södertälje	0181
T0198	Ingaröstrand	T	286	290	-4	274	104	Värmdö	0120
T0200	Jordbro	T	10291	9316	975	2201	468	Haninge	0136
T0204	Järna	T	6377	6284	93	1622	393	Södertälje	0181
T0208	Karby	T	865	844	21	1884	46	Vallentuna	0115
T0212	Kil	T	731	639	92	966	76	Nacka	0182
T0214	Kopparmora	T	631	665	-34	769	82	Värmdö	0120
T0216	Kummelnäs	T	3848	3362	486	726	530	Nacka	0182
T0218	Kungsberga	T	406	382	24	786	52	Ekerö	0125
T0220	Kungsängen	T	9382	7367	2015	2588	363	Upplands-Bro	0139
T0222	Kullö	T	889	539	350	3219	28	Vaxholm	0187
T0224	Kårsta	T	457	439	18	1028	44	Vallentuna	0115
T0226	Landfjärden	T	241	246	-5	219	110	Nynäshamn	0192
T0228	Lidingö	T	31561	30357	1204	2524	1251	Lidingö	0186
T0232	Lindholmen	T	860	810	50	1211	71	Vallentuna	0115
T0234	Långvik	T	559	540	19	562	100	Värmdö	0120
T0236	Löwenströmska lasarettet	T	518	507	11	682	76	Upplands Väsby	0114
T0238	Muskö	T	261	287	-26	879	30	Haninge	0136
T0240	Märsta	T	24068	22550	1518	3150	764	Sigtuna	0191
T0242	Mariedal	T	297	277	20	402	74	Upplands Bro	0139
T0244	Mölnbo	T	1052	1011	41	907	116	Södertälje	0181
T0248	Mörtnäs	T	1511	1291	220	823	184	Värmdö	0120
T0250	Norra Lagnö	T	332	323	9	376	88	Värmdö	0120
T0252	Norrtälje	T	17275	16263	1012	2292	754	Norrtälje	0188
T0256	Norrö	T	305	246	59	483	63	Österåker	0117
T0260	Nykvarn	T	6497	6032	465	1479	439	Nykvarn	0140
T0264	Nynäshamn	T	13510	13079	431	2024	668	Nynäshamn	0192
T0266	Sundby	T	270	271	-1	1265	21	Ekerö	0125
T0268	Oskar-Fredriksborg	T	722	732	-10	550	131	Vaxholm	0187
T0272	Pershagen	T	2216	2214	2	2373	93	Södertälje	0181
T0274	Raksta	T	746	629	117	416	179	Tyresö	0138
T0276	Resarö	T	2946	2347	599	951	310	Vaxholm	0187
T0278	Riala	T	215	212	3	395	54	Norrtälje	0188
T0280	Rimbo	T	4629	4606	23	1800	257	Norrtälje	0188
T0284	Rosersberg	T	1671	1641	30	910	184	Sigtuna	0191
T0288	Täby	T	61272	58593	2679	2374	2581	Täby	0160
T0290	Täljö	T	387	338	49	422	92	Österåker	0117
T0292	Rydbo	T	582	520	62	1658	35	Österåker	0117
T0294	Rånäs	T	428	449	-21	779	55	Norrtälje	0188
T0296	Saltsjöbaden	T	9491	8937	554	1751	542	Nacka	0182
T0298	Sibble	T	309	280	29	471	66	Botkyrka	0127
T0300	Sigtuna	T	8444	7204	1240	1849	457	Sigtuna	0191
T0302	Solberga	T	409	352	57	380	108	Österåker	0117
T0304	Sjöberg	T	4310	4234	76	3103	139	Sollentuna	0163
T0306	Skärgårdsstad	T	1924	1901	23	1161	166	Österåker	0117
T0308	Skebobruk	T	282	265	17	214	132	Norrtälje	0188
T0310	Sandviken	T	338	340	-2	472	72	Södertälje	0181
T0312	Skeppsdalsström	T	1573	1482	91	554	284	Värmdö	0120
T0314	Lugnet och Skälsmara	T	625	555	70	314	199	Värmdö	0120
T0318	Solsidan	T	349	209	140	1489	23	Ekerö	0125
T0320	Sorunda	T	1307	1354	-47	1185	110	Nynäshamn	0192
T0324	Stavsnäs	T	810	731	79	1421	57	Värmdö	0120
T0326	Stava	T	305	264	41	340	90	Österåker	0117
T0328	Stenhamra	T	3336	3280	56	1147	291	Ekerö	0125
T0332	Sticklinge udde	T	2943	2937	6	2417	122	Lidingö	0186
T0336	Stockholm	T	1372565	1252118	120447	3597	38163	Stockholm	0180
T0340	Stora Vika	T	651	585	66	1367	48	Nynäshamn	0192
T0342	Strömma	T	579	516	63	250	232	Värmdö	0120
T0348	Svanberga	T	501	479	22	863	58	Norrtälje	0188
T0350	Svinninge	T	1636	1422	214	441	371	Österåker	0117
T0352	Söderby-Karl	T	231	222	9	345	67	Norrtälje	0188
T0354	Södersvik	T	281	260	21	350	80	Norrtälje	0188
T0356	Södertälje	T	64619	60279	4340	2500	2584	Södertälje	0181
T0364	Grödby	T	340	368	-28	764	45	Nynäshamn	0192
T0366	Torsby	T	477	481	-4	324	147	Värmdö	0120
T0368	Tranholmen	T	338	277	61	823	41	Danderyd	0162
T0372	Tumba	T	37852	35311	2541	2134	1774	Botkyrka	0127
T0374	Tuna	T	232	230	2	671	35	Södertälje	0181
T0378	Tureholm	T	260	259	1	274	95	Ekerö	0125
T0384	Upplands Väsby	T	37594	35977	1617	2653	1417	Upplands Väsby	0114
T0388	Vallentuna	T	29519	26520	2999	1850	1596	Vallentuna	0115
T0390	Vattubrinken	T	332	313	19	480	69	Södertälje	0181
T0392	Vaxholm	T	4857	4817	40	2962	164	Vaxholm	0187
T0394	Vidja	T	682	636	46	391	174	Huddinge	0126
T0396	Vårsta	T	2396	2353	43	1806	133	Botkyrka	0127
T0398	Viksäter	T	459	309	150	727	63	Södertälje	0181
T0402	Väländan	T	469	451	18	397	118	Haninge	0136
T0404	Västerhaninge	T	15134	14060	1074	1625	932	Haninge	0136
T0408	Åkersberga	T	28033	26727	1306	1723	1627	Österåker	0117
T0410	Återvall	T	206	205	1	584	35	Värmdö	0120
T0412	Älmsta	T	1097	924	173	912	120	Norrtälje	0188
T0414	Älvnäs	T	601	517	84	1105	54	Ekerö	0125
T0416	Älta	T	9989	9274	715	3011	332	Nacka	0182
T0418	Ängsvik	T	403	410	-7	2114	19	Värmdö	0120
T0420	Ösmo	T	3911	3635	276	1783	219	Nynäshamn	0192
T0422	Östhamra	T	255	254	1	328	78	Norrtälje	0188
T0699	Abborrberget	T	2141	1814	327	1556	138	Strängnäs	0486
T0700	Alberga	T	395	410	-15	942	42	Eskilstuna	0484
T0702	Arnö	T	3871	3928	-57	1843	210	Nyköping	0480
T0704	Baggetorp	T	502	519	-17	595	84	Vingåker	0428
T0708	Bergshammar	T	790	804	-14	1280	62	Nyköping	0480
T0712	Bettna	T	412	415	-3	415	99	Flen	0482
T0716	Bie	T	528	549	-21	858	62	Katrineholm	0483
T0720	Björkvik	T	492	511	-19	514	96	Katrineholm	0483
T0724	Björnlunda	T	827	795	32	962	86	Gnesta	0461
T0728	Buskhyttan	T	225	213	12	458	49	Nyköping	0480
T0730	Bälgviken	T	253	260	-7	644	39	Eskilstuna	0484
T0734	Djulö kvarn	T	209	200	9	706	30	Katrineholm	0483
T0736	Enstaberga	T	430	461	-31	731	59	Nyköping	0480
T0740	Eskilstuna	T	64679	60185	4494	2083	3105	Eskilstuna	0484
T0744	Flen	T	6229	6114	115	1400	445	Flen	0482
T0748	Forssjö	T	537	513	24	849	63	Katrineholm	0483
T0752	Gnesta	T	5562	5208	354	1441	386	Gnesta	0461
T0756	Hållsta	T	823	804	19	953	86	Eskilstuna	0484
T0760	Hällberga	T	612	616	-4	826	74	Eskilstuna	0484
T0764	Hällbybrunn	T	3296	3374	-78	1070	308	Eskilstuna	0484
T0768	Hälleforsnäs	T	1585	1747	-162	650	244	Flen	0482
T0772	Härad	T	508	494	14	897	57	Strängnäs	0486
T0776	Högsjö	T	713	779	-66	719	99	Vingåker	0428
T0780	Jönåker	T	617	610	7	645	96	Nyköping	0480
T0784	Katrineholm	T	21993	21386	607	1919	1146	Katrineholm	0483
T0788	Kjulaås	T	837	851	-14	835	100	Eskilstuna	0484
