'ortnamn';'population';'ortkod';'kommumkod'
'Brevik';'8772';'0108';'0186'
'Hönö';'5110';'4428';'1407'
'Färjestaden';'5018';'2208';'0840'
'Vi';'4997';'7404';'2281'
'Vargön';'4919';'5112';'1487'
'Södra Sunderbyn';'2977';'8880';'2580'
'Sticklinge udde';'2943';'0332';'0186'
'Herrestad';'2583';'4388';'1485'
'Odensjö';'2495';'1612';'0680'
'Bergsviken';'2283';'8536';'2581'
'Skogstorp';'2124';'4088';'1382'
'Brevikshalvön';'2018';'0110';'0138'
'Bräkne-Hoby';'1689';'2604';'1081'
'Mörtnäs';'1511';'0248';'0120'
'Björkö';'1427';'4304';'1407'
'Landsbro';'1426';'1568';'0685'
'Järna';'1413';'6468';'2021'
'Morgongåva';'1409';'6276';'0331'
'Norrfjärden';'1362';'8776';'2581'
'Olstorp';'1281';'4986';'1441'
'Siljansnäs';'1268';'6732';'2029'
'Sturkö';'1264';'2740';'1080'
'Strandnorum';'1251';'4580';'1415'
'Roknäs';'1238';'8816';'2581'
'Norrhult-Klavreström';'1215';'1948';'0760'
'Gusum';'1175';'1084';'0563'
'Påskallavik';'1083';'2372';'0882'
'Skrea';'1064';'4096';'1382'
'Rolfs';'1061';'8820';'2514'
'Tormestorp';'1050';'3120';'1293'
'Fågelvikshöjden';'1043';'0166';'0120'
'Nolvik';'1025';'4522';'1480'
'Hummelsta';'1002';'0564';'0381'
'Hammerdal';'974';'7860';'2313'
'Saxtorpsskogen';'973';'3718';'1282'
'Storebro';'972';'2412';'0884'
'Härryda';'968';'4424';'1401'
'Djurö';'967';'0136';'0120'
'Björboholm';'963';'4732';'1441'
'Naglarby och Enbacka';'961';'6492';'2082'
'Brunn';'950';'0120';'0120'
'Kristdala';'945';'2288';'0882'
'Gunnebo';'938';'2236';'0883'
'Borrby';'930';'2820';'1291'
'Jonsered';'930';'4432';'1402'
'Lilla Tjärby';'914';'4036';'1381'
'Romakloster';'913';'2532';'0980'
'Diö';'910';'1832';'0765'
'Nyland';'903';'7616';'2282'
'Trönninge';'880';'4128';'1383'
'Riksten';'839';'0282';'0127'
'Mörlunda';'838';'2348';'0860'
'Kjulaås';'837';'0788';'0484'
'Nyborg';'833';'8928';'2514'
'Kåhög';'832';'4464';'1402'
'Åbyggeby';'811';'7368';'2180'
'Stavsnäs';'810';'0324';'0120'
'Skepparkroken';'743';'3063';'1292'
'Sunningen';'742';'4590';'1485'
'Gullbranna';'704';'3952';'1380'
'Risögrund';'697';'8812';'2514'
